26,0,0,8,
27,0,0,8,
28,0,0,8,
29,0,0,8,
26,0,0,8,
27,0,0,8,
28,0,0,8,
29,0,0,8,
26,0,0,8,
27,0,0,8,
28,0,0,8,
29,0,0,8,
26,0,0,8,
27,0,0,8,
28,0,0,8,
29,0,0,8,
26,0,0,8,
27,0,0,8,
28,0,0,8,
29,0,0,8,
26,0,0,8,
27,0,0,8,
28,0,0,8,
29,0,0,8,
26,0,0,8,
27,0,0,8,
28,0,0,8,
29,0,0,8,
26,0,0,8,
27,0,0,8,
28,0,0,8,
29,0,0,8,
26,0,0,8,
27,0,0,8,
28,0,0,8,
29,0,0,8,
26,0,0,8,
27,0,0,8,
28,0,0,8,
29,0,0,8,
95,0,0,8,
96,0,0,6,
97,0,0,8,
98,0,0,8,
99,0,0,6,
100,0,0,6,
31,0,0,10,
32,0,0,10,
41,0,0,8,
42,0,0,12,
43,0,0,8,
44,0,0,12,
30,0,0,8,
48,0,0,8,
46,0,0,6,
